x,rho,P,u
-0.245745745745746,1,1,0
-0.244744744744745,1,1,0
-0.243743743743744,1,1,0
-0.242742742742743,1,1,0
-0.241741741741742,1,1,0
-0.240740740740741,1,1,0
-0.23973973973974,1,1,0
-0.238738738738739,1,1,0
-0.237737737737738,1,1,0
-0.236736736736737,1,1,0
-0.235735735735736,1,1,0
-0.234734734734735,1,1,0
-0.233733733733734,1,1,0
-0.232732732732733,1,1,0
-0.231731731731732,1,1,0
-0.230730730730731,1,1,0
-0.22972972972973,1,1,0
-0.228728728728729,1,1,0
-0.227727727727728,1,1,0
-0.226726726726727,1,1,0
-0.225725725725726,1,1,0
-0.224724724724725,1,1,0
-0.223723723723724,1,1,0
-0.222722722722723,1,1,0
-0.221721721721722,1,1,0
-0.220720720720721,1,1,0
-0.21971971971972,1,1,0
-0.218718718718719,1,1,0
-0.217717717717718,1,1,0
-0.216716716716717,1,1,0
-0.215715715715716,1,1,0
-0.214714714714715,1,1,0
-0.213713713713714,1,1,0
-0.212712712712713,1,1,0
-0.211711711711712,1,1,0
-0.210710710710711,1,1,0
-0.20970970970971,1,1,0
-0.208708708708709,1,1,0
-0.207707707707708,1,1,0
-0.206706706706707,1,1,0
-0.205705705705706,1,1,0
-0.204704704704705,1,1,0
-0.203703703703704,1,1,0
-0.202702702702703,1,1,0
-0.201701701701702,1,1,0
-0.200700700700701,1,1,0
-0.1996996996997,1,1,0
-0.198698698698699,1,1,0
-0.197697697697698,1,1,0
-0.196696696696697,1,1,0
-0.195695695695696,1,1,0
-0.194694694694695,1,1,0
-0.193693693693694,1,1,0
-0.192692692692693,1,1,0
-0.191691691691692,1,1,0
-0.190690690690691,1,1,0
-0.18968968968969,1,1,0
-0.188688688688689,1,1,0
-0.187687687687688,1,1,0
-0.186686686686687,1,1,0
-0.185685685685686,1,1,0
-0.184684684684685,1,1,0
-0.183683683683684,1,1,0
-0.182682682682683,1,1,0
-0.181681681681682,1,1,0
-0.180680680680681,1,1,0
-0.17967967967968,1,1,0
-0.178678678678679,1,1,0
-0.177677677677678,1,1,0
-0.176676676676677,1,1,0
-0.175675675675676,1,1,0
-0.174674674674675,1,1,0
-0.173673673673674,1,1,0
-0.172672672672673,1,1,0
-0.171671671671672,1,1,0
-0.170670670670671,1,1,0
-0.16966966966967,1,1,0
-0.168668668668669,1,1,0
-0.167667667667668,1,1,0
-0.166666666666667,1,1,0
-0.165665665665666,1,1,0
-0.164664664664665,1,1,0
-0.163663663663664,1,1,0
-0.162662662662663,1,1,0
-0.161661661661662,1,1,0
-0.160660660660661,1,1,0
-0.15965965965966,1,1,0
-0.158658658658659,1,1,0
-0.157657657657658,1,1,0
-0.156656656656657,1,1,0
-0.155655655655656,1,1,0
