x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.575,0.343612,1.52611,2.4589,17.8901,0.482152,0.343939,1.52551,2.45979,17.8796
0.58,0.343609,1.52607,2.45894,17.8905,0.482137,0.343939,1.52551,2.45979,17.8796
0.585,0.343605,1.52605,2.45897,17.891,0.482122,0.343939,1.52551,2.45979,17.8796
0.59,0.343601,1.52602,2.459,17.8914,0.482107,0.343939,1.52551,2.45979,17.8796
0.595,0.343597,1.52599,2.45902,17.8918,0.482093,0.343939,1.52551,2.45979,17.8796
0.6,0.343597,1.52596,2.45905,17.892,0.482083,0.343939,1.52551,2.45979,17.8796
0.605,0.343605,1.52594,2.45907,17.8917,0.482078,0.343939,1.52551,2.45979,17.8796
0.61,0.343632,1.52592,2.4591,17.8905,0.482088,0.343939,1.52551,2.45979,17.8796
0.615,0.343702,1.5259,2.45912,17.887,0.482128,0.343939,1.52551,2.45979,17.8796
0.62,0.343857,1.52588,2.45914,17.8791,0.482227,0.343939,1.52551,2.45979,17.8796
0.625,0.344172,1.52586,2.45916,17.8629,0.482441,0.343939,1.52551,2.45979,17.8796
0.63,0.34478,1.52584,2.45918,17.8315,0.482858,0.343939,1.52551,2.45979,17.8796
0.635,0.345886,1.52582,2.4592,17.7746,0.483625,0.343939,1.52551,2.45979,17.8796
0.64,0.347808,1.5258,2.45921,17.6765,0.484959,0.343939,1.52551,2.45979,17.8796
0.645,0.350997,1.52578,2.45923,17.516,0.487171,0.343939,1.52551,2.45979,17.8796
0.65,0.356066,1.52577,2.45925,17.2668,0.49067,0.343939,1.52551,2.45979,17.8796
0.655,0.363798,1.52575,2.45926,16.8999,0.495962,0.343939,1.52551,2.45979,17.8796
0.66,0.375123,1.52574,2.45928,16.3898,0.503616,0.343939,1.52551,2.45979,17.8796
0.665,0.391077,1.52573,2.45929,15.7213,0.514208,0.343939,1.52551,2.45979,17.8796
0.67,0.41271,1.52571,2.4593,14.8973,0.528232,0.343939,1.52551,2.45979,17.8796
0.675,0.440968,1.5257,2.45932,13.9427,0.546011,0.343939,1.52551,2.45979,17.8796
0.68,0.47656,1.52569,2.45933,12.9015,0.567613,0.343939,1.52551,2.45979,17.8796
0.685,0.519814,1.52568,2.45935,11.828,0.592806,0.343939,1.52551,2.45979,17.8796
0.69,0.570569,1.52567,2.45936,10.7759,0.621067,0.343939,1.52551,2.45979,17.8796
0.695,0.628108,1.52566,2.45938,9.78883,0.651624,0.343939,1.52551,2.45979,17.8796
0.7,0.691169,1.52565,2.4594,8.89578,0.683547,0.343939,1.52551,2.45979,17.8796
0.705,0.758017,1.52564,2.45941,8.11134,0.715833,0.343939,1.52551,2.45979,17.8796
0.71,0.826595,1.52563,2.45943,7.43845,0.747506,0.343939,1.52551,2.45979,17.8796
0.715,0.894711,1.52563,2.45945,6.8722,0.777689,1.30227,1.52551,2.45979,4.72213
0.72,0.960247,1.52562,2.45947,6.40323,0.805661,1.30227,1.52551,2.45979,4.72213
0.725,1.02135,1.52562,2.4595,6.02021,0.830893,1.30227,1.52551,2.45979,4.72213
0.73,1.07658,1.52561,2.45952,5.71141,0.853057,1.30227,1.52551,2.45979,4.72213
0.735,1.125,1.52561,2.45954,5.46566,0.872023,1.30227,1.52551,2.45979,4.72213
0.74,1.16618,1.52561,2.45957,5.27272,0.887834,1.30227,1.52551,2.45979,4.72213
0.745,1.20017,1.52561,2.45959,5.12344,0.900675,1.30227,1.52551,2.45979,4.72213
0.75,1.22741,1.52561,2.45962,5.00977,0.910836,1.30227,1.52551,2.45979,4.72213
0.755,1.24862,1.52561,2.45965,4.92473,0.918668,1.30227,1.52551,2.45979,4.72213
0.76,1.26467,1.52562,2.45968,4.86231,0.924549,1.30227,1.52551,2.45979,4.72213
0.765,1.27647,1.52562,2.45971,4.81741,0.928851,1.30227,1.52551,2.45979,4.72213
0.77,1.28492,1.52563,2.45975,4.78579,0.931918,1.30227,1.52551,2.45979,4.72213
0.775,1.29081,1.52564,2.45978,4.76402,0.93405,1.30227,1.52551,2.45979,4.72213
0.78,1.29481,1.52565,2.45982,4.74936,0.935497,1.30227,1.52551,2.45979,4.72213
0.785,1.29747,1.52565,2.45984,4.73969,0.936454,1.30227,1.52551,2.45979,4.72213
0.79,1.29919,1.52565,2.45985,4.73343,0.93707,1.30227,1.52551,2.45979,4.72213
0.795,1.30026,1.52561,2.45978,4.72941,0.937445,1.30227,1.52551,2.45979,4.72213
0.8,1.30085,1.52548,2.45952,4.72677,0.937627,1.30227,1.52551,2.45979,4.72213
0.805,1.30098,1.52511,2.45875,4.72478,0.937596,1.30227,1.52551,2.45979,4.72213
0.81,1.30046,1.52411,2.45665,4.72266,0.937195,1.30227,1.52551,2.45979,4.72213
0.815,1.29856,1.52151,2.45116,4.71902,0.935956,1.30227,1.52551,2.45979,4.72213
0.82,1.29333,1.51481,2.43707,4.71083,0.932644,1.30227,1.52551,2.45979,4.72213
0.825,1.27993,1.49775,2.40149,4.69067,0.924121,1.30227,1.52551,2.45979,4.72213
0.83,1.24691,1.45508,2.31449,4.64045,0.902636,1.30227,1.52551,2.45979,4.72213
0.835,1.17092,1.35221,2.1161,4.51804,0.850108,1.30227,1.52551,2.45979,4.72213
0.84,1.02011,1.12546,1.73035,4.24059,0.730335,1.30227,1.52551,2.45979,4.72213
0.845,0.799307,0.722373,1.19162,3.72704,0.500018,0.5,0.0,0.571,2.855
0.85,0.607048,0.278222,0.767411,3.16042,0.209134,0.5,0.0,0.571,2.855
0.855,0.523008,0.0591544,0.609125,2.91164,0.0463259,0.5,0.0,0.571,2.855
0.86,0.50372,0.00943706,0.576982,2.8636,0.00745223,0.5,0.0,0.571,2.855
0.865,0.500559,0.00141454,0.571895,2.85628,0.00111846,0.5,0.0,0.571,2.855
0.87,0.500083,0.000209926,0.571133,2.85519,0.000166018,0.5,0.0,0.571,2.855
0.875,0.500012,3.11022e-05,0.57102,2.85503,2.45976e-05,0.5,0.0,0.571,2.855
