X,Y
5.050505050505050934e-03,1.010101010101010187e-02
1.010101010101010187e-02,1.010101010101010187e-02
1.515151515151515194e-02,1.010101010101010187e-02
2.020202020202020374e-02,1.010101010101010187e-02
2.525252525252525901e-02,1.010101010101010187e-02
3.030303030303030387e-02,1.010101010101010187e-02
3.535353535353535914e-02,1.010101010101010187e-02
4.040404040404040747e-02,1.010101010101010360e-02
4.545454545454546275e-02,1.010101010101010013e-02
5.050505050505051802e-02,1.010101010101010187e-02
5.555555555555555941e-02,1.010101010101010187e-02
6.060606060606060774e-02,1.010101010101010187e-02
6.565656565656566301e-02,1.010101010101010360e-02
7.070707070707071829e-02,1.010101010101010187e-02
7.575757575757575968e-02,1.010101010101010187e-02
8.080808080808081495e-02,1.010101010101010187e-02
8.585858585858588410e-02,1.010101010101010187e-02
9.090909090909092549e-02,1.010101010101010187e-02
9.595959595959598076e-02,1.010101010101010187e-02
1.010101010101010360e-01,1.010101010101010360e-02
1.060606060606060635e-01,1.010101010101010187e-02
1.111111111111111188e-01,1.010101010101010187e-02
1.161616161616161741e-01,1.010101010101010187e-02
1.212121212121212155e-01,1.010101010101010187e-02
1.262626262626262708e-01,1.010101010101010013e-02
1.313131313131313260e-01,1.010101010101010187e-02
1.363636363636364091e-01,1.010101010101010187e-02
1.414141414141414366e-01,1.010101010101010187e-02
1.464646464646464641e-01,1.010101010101010187e-02
1.515151515151515194e-01,1.010101010101010187e-02
1.565656565656565746e-01,1.010101010101010187e-02
1.616161616161616299e-01,1.010101010101010187e-02
1.666666666666666852e-01,1.010101010101010187e-02
1.717171717171717682e-01,1.010101010101010187e-02
1.767676767676767957e-01,1.010101010101010187e-02
1.818181818181818510e-01,1.010101010101010187e-02
1.868686868686868785e-01,1.010101010101010360e-02
1.919191919191919615e-01,1.010101010101010187e-02
1.969696969696969890e-01,1.010101010101010013e-02
2.020202020202020721e-01,1.010101010101010187e-02
2.070707070707070996e-01,1.010101010101010360e-02
2.121212121212121271e-01,1.010101010101010013e-02
2.171717171717171824e-01,1.010101010101010187e-02
2.222222222222222376e-01,1.010101010101010187e-02
2.272727272727273207e-01,1.010101010101010187e-02
2.323232323232323482e-01,1.010101010101010013e-02
2.373737373737374312e-01,1.010101010101010187e-02
2.424242424242424310e-01,1.010101010101010187e-02
2.474747474747475140e-01,1.010101010101010013e-02
2.525252525252525415e-01,1.010101010101010187e-02
2.575757575757576245e-01,1.010101010101010187e-02
2.626262626262626521e-01,1.010101010101010187e-02
2.676767676767676796e-01,1.010101010101010187e-02
2.727272727272728181e-01,1.010101010101010187e-02
2.777777777777777901e-01,1.010101010101010187e-02
2.828282828282828731e-01,1.010101010101010187e-02
2.878787878787879562e-01,1.010101010101010187e-02
2.929292929292929282e-01,1.010101010101010187e-02
2.979797979797980112e-01,1.010101010101010187e-02
3.030303030303030387e-01,1.010101010101010187e-02
3.080808080808081773e-01,1.010101010101010187e-02
3.131313131313131493e-01,1.010101010101010187e-02
3.181818181818182323e-01,1.010101010101010187e-02
3.232323232323232598e-01,1.010101010101010187e-02
3.282828282828283428e-01,1.010101010101010187e-02
3.333333333333333703e-01,1.010101010101010187e-02
3.383838383838383979e-01,1.010101010101010187e-02
3.434343434343435364e-01,1.010101010101010187e-02
3.484848484848485084e-01,1.010101010101010187e-02
3.535353535353535914e-01,1.010101010101010187e-02
3.585858585858586189e-01,1.010101010101010187e-02
3.636363636363637020e-01,1.010101010101010187e-02
3.686868686868687295e-01,1.010101010101010187e-02
3.737373737373737570e-01,1.010101010101010187e-02
3.787878787878788400e-01,1.010101010101010187e-02
3.838383838383839231e-01,1.010101010101010187e-02
3.888888888888888951e-01,1.010101010101010187e-02
3.939393939393939781e-01,1.010101010101010187e-02
3.989898989898990611e-01,1.010101010101010187e-02
4.040404040404041441e-01,1.010101010101010187e-02
4.090909090909091161e-01,1.010101010101010187e-02
4.141414141414141992e-01,1.010101010101010187e-02
4.191919191919192822e-01,1.010101010101010187e-02
4.242424242424242542e-01,1.010101010101010187e-02
4.292929292929293372e-01,1.010101010101010187e-02
4.343434343434343647e-01,1.010101010101010187e-02
4.393939393939395033e-01,1.010101010101010187e-02
4.444444444444444753e-01,1.010101010101010187e-02
4.494949494949495583e-01,1.010101010101010360e-02
4.545454545454546413e-01,1.010101010101010187e-02
4.595959595959596689e-01,1.010101010101010187e-02
4.646464646464646964e-01,1.010101010101010187e-02
4.696969696969697239e-01,1.010101010101010187e-02
4.747474747474748624e-01,1.010101010101010187e-02
4.797979797979798899e-01,1.010101010101010187e-02
4.848484848484848619e-01,1.010101010101010187e-02
4.898989898989899450e-01,1.010101010101010187e-02
4.949494949494950280e-01,1.010101010101010187e-02
5.000000000000000000e-01,1.010101010101010187e-02
5.000000000000000000e-01,1.010101010101010187e-02
5.101010101010102771e-01,8.364705498279851464e-03
5.202020202020202211e-01,6.628400895549602795e-03
5.303030303030303871e-01,4.892096292819354993e-03
5.404040404040403311e-01,3.155791690089105456e-03
5.505050505050504972e-01,1.419487087358853317e-03
5.606060606060607743e-01,-3.168175153713936182e-04
5.707070707070707183e-01,-2.053122118101644022e-03
5.808080808080808843e-01,-3.789426720831890957e-03
5.909090909090909394e-01,-5.525731323562144831e-03
6.010101010101009944e-01,-7.262035926292395235e-03
6.111111111111111605e-01,-8.998340529022638701e-03
6.212121212121212155e-01,-1.073464513175288911e-02
6.313131313131313815e-01,-1.247094973448314124e-02
