x,rho,u,P,e, ,rho_ref,u_ref,P_ref,e_ref
0.52,0.343542,1.52702,2.4579,17.8864,0.482491,0.343939,1.52551,2.45979,17.8796
0.525,0.343547,1.52693,2.45799,17.8869,0.482458,0.343939,1.52551,2.45979,17.8796
0.53,0.34355,1.52685,2.45808,17.8873,0.482426,0.343939,1.52551,2.45979,17.8796
0.535,0.343552,1.52678,2.45816,17.8878,0.482396,0.343939,1.52551,2.45979,17.8796
0.54,0.343554,1.52671,2.45823,17.8882,0.482368,0.343939,1.52551,2.45979,17.8796
0.545,0.343555,1.52664,2.4583,17.8887,0.48234,0.343939,1.52551,2.45979,17.8796
0.55,0.343555,1.52658,2.45837,17.8892,0.482314,0.343939,1.52551,2.45979,17.8796
0.555,0.343554,1.52652,2.45843,17.8897,0.482289,0.343939,1.52551,2.45979,17.8796
0.56,0.343552,1.52646,2.45849,17.8902,0.482264,0.343939,1.52551,2.45979,17.8796
0.565,0.34355,1.52641,2.45854,17.8907,0.482241,0.343939,1.52551,2.45979,17.8796
0.57,0.343547,1.52636,2.4586,17.8913,0.482218,0.343939,1.52551,2.45979,17.8796
0.575,0.343544,1.52632,2.45864,17.8918,0.482197,0.343939,1.52551,2.45979,17.8796
0.58,0.343545,1.52627,2.45869,17.892,0.482179,0.343939,1.52551,2.45979,17.8796
0.585,0.343556,1.52623,2.45873,17.8918,0.482169,0.343939,1.52551,2.45979,17.8796
0.59,0.343593,1.52619,2.45877,17.8901,0.482179,0.343939,1.52551,2.45979,17.8796
0.595,0.343689,1.52615,2.45881,17.8854,0.482231,0.343939,1.52551,2.45979,17.8796
0.6,0.343909,1.52612,2.45885,17.8743,0.48237,0.343939,1.52551,2.45979,17.8796
0.605,0.344373,1.52609,2.45888,17.8504,0.482681,0.343939,1.52551,2.45979,17.8796
0.61,0.345288,1.52605,2.45891,17.8034,0.483309,0.343939,1.52551,2.45979,17.8796
0.615,0.346989,1.52602,2.45894,17.7163,0.484485,0.343939,1.52551,2.45979,17.8796
0.62,0.34998,1.526,2.45897,17.5651,0.486557,0.343939,1.52551,2.45979,17.8796
0.625,0.354977,1.52597,2.459,17.318,0.490007,0.343939,1.52551,2.45979,17.8796
