x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.83,1.18698,1.37454,2.15785,4.54483,0.861598,1.30227,1.52551,2.45979,4.72213
0.835,1.04943,1.17219,1.80444,4.29861,0.755507,1.30227,1.52551,2.45979,4.72213
0.84,0.835366,0.795225,1.27682,3.82113,0.543625,0.5,0.0,0.571,2.855
0.845,0.630317,0.337026,0.81512,3.23298,0.250477,0.5,0.0,0.571,2.855
0.85,0.530039,0.0775117,0.621302,2.93045,0.060507,0.5,0.0,0.571,2.855
0.855,0.504985,0.0126585,0.579031,2.86658,0.00999092,0.5,0.0,0.571,2.855
0.86,0.500753,0.00190483,0.572205,2.85672,0.00150601,0.5,0.0,0.571,2.855
0.865,0.500112,0.000282842,0.571179,2.85526,0.00022368,0.5,0.0,0.571,2.855
0.87,0.500017,4.19065e-05,0.571026,2.85504,3.31422e-05,0.5,0.0,0.571,2.855
0.875,0.500002,6.20552e-06,0.571004,2.85501,4.90773e-06,0.5,0.0,0.571,2.855
0.88,0.5,9.18587e-07,0.571001,2.855,7.26479e-07,0.5,0.0,0.571,2.855
0.885,0.5,1.35924e-07,0.571,2.855,1.07498e-07,0.5,0.0,0.571,2.855
0.89,0.5,2.01039e-08,0.571,2.855,1.58995e-08,0.5,0.0,0.571,2.855
0.895,0.5,2.97188e-09,0.571,2.855,2.35036e-09,0.5,0.0,0.571,2.855
0.9,0.5,4.3904e-10,0.571,2.855,3.47222e-10,0.5,0.0,0.571,2.855
0.905,0.5,6.481e-11,0.571,2.855,5.1256e-11,0.5,0.0,0.571,2.855
0.91,0.5,9.55808e-12,0.571,2.855,7.55916e-12,0.5,0.0,0.571,2.855
0.915,0.5,1.40793e-12,0.571,2.855,1.11349e-12,0.5,0.0,0.571,2.855
0.92,0.5,2.0707e-13,0.571,2.855,1.63765e-13,0.5,0.0,0.571,2.855
0.925,0.5,3.03269e-14,0.571,2.855,2.39845e-14,0.5,0.0,0.571,2.855
0.93,0.5,4.46207e-15,0.571,2.855,3.5289e-15,0.5,0.0,0.571,2.855
0.935,0.5,6.05026e-16,0.571,2.855,4.78495e-16,0.5,0.0,0.571,2.855
0.94,0.5,7.56287e-17,0.571,2.855,5.98122e-17,0.5,0.0,0.571,2.855
0.945,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.95,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.955,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.96,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.965,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.97,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.975,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.98,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.985,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.99,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.995,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
1.0,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
