x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.585,0.578722,1.36192,0.465634,2.01147,1.28322,0.579867,1.36091,0.466294,2.01035
0.59,0.578746,1.36183,0.465687,2.01162,1.28309,0.579867,1.36091,0.466294,2.01035
0.595,0.578795,1.36169,0.465773,2.01182,1.28289,0.579867,1.36091,0.466294,2.01035
0.6,0.57884,1.36155,0.465858,2.01203,1.28269,0.579867,1.36091,0.466294,2.01035
0.605,0.578867,1.36143,0.465932,2.01226,1.2825,0.579867,1.36091,0.466294,2.01035
0.61,0.578871,1.36133,0.465992,2.0125,1.28233,0.579867,1.36091,0.466294,2.01035
0.615,0.578843,1.36125,0.466041,2.01281,1.28216,0.579867,1.36091,0.466294,2.01035
0.62,0.578767,1.36118,0.46608,2.01324,1.28196,0.579867,1.36091,0.466294,2.01035
0.625,0.578613,1.36113,0.466112,2.01392,1.28169,0.579867,1.36091,0.466294,2.01035
0.63,0.578325,1.36109,0.466139,2.01504,1.2813,0.579867,1.36091,0.466294,2.01035
0.635,0.577812,1.36105,0.466161,2.01692,1.28066,0.579867,1.36091,0.466294,2.01035
0.64,0.576937,1.36102,0.466179,2.02006,1.27964,0.579867,1.36091,0.466294,2.01035
0.645,0.575502,1.36099,0.466194,2.02516,1.278,0.579867,1.36091,0.466294,2.01035
0.65,0.573245,1.36097,0.466207,2.0332,1.27545,0.579867,1.36091,0.466294,2.01035
0.655,0.56984,1.36095,0.466218,2.04539,1.27163,0.579867,1.36091,0.466294,2.01035
0.66,0.564922,1.36093,0.466227,2.06323,1.2661,0.579867,1.36091,0.466294,2.01035
0.665,0.558122,1.36092,0.466234,2.0884,1.25844,0.579867,1.36091,0.466294,2.01035
0.67,0.549119,1.36091,0.46624,2.12267,1.24823,0.579867,1.36091,0.466294,2.01035
0.675,0.537706,1.3609,0.466245,2.16775,1.23517,0.579867,1.36091,0.466294,2.01035
0.68,0.523851,1.36089,0.466249,2.2251,1.21914,0.579867,1.36091,0.466294,2.01035
0.685,0.507736,1.36088,0.466252,2.29574,1.20023,0.579867,1.36091,0.466294,2.01035
0.69,0.489778,1.36087,0.466254,2.37992,1.17881,0.579867,1.36091,0.466294,2.01035
0.695,0.470598,1.36087,0.466256,2.47694,1.15549,0.579867,1.36091,0.466294,2.01035
0.7,0.450958,1.36086,0.466257,2.58481,1.13111,0.579867,1.36091,0.466294,2.01035
0.705,0.431678,1.36086,0.466258,2.70027,1.10666,0.3397,1.36091,0.466294,3.43165
0.71,0.413527,1.36085,0.466259,2.81879,1.08314,0.3397,1.36091,0.466294,3.43165
0.715,0.397141,1.36085,0.466259,2.9351,1.06146,0.3397,1.36091,0.466294,3.43165
0.72,0.382954,1.36084,0.466259,3.04383,1.04233,0.3397,1.36091,0.466294,3.43165
0.725,0.371177,1.36084,0.466259,3.14041,1.02617,0.3397,1.36091,0.466294,3.43165
0.73,0.361802,1.36084,0.466258,3.22177,1.01313,0.3397,1.36091,0.466294,3.43165
